customer_id,tenure,monthly_charges,total_charges,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,num_services,churn
CUST00046,44,115.56,4623.32,0,1,0,1,1,No,1,0,1,0,1,0,Month-to-month,1,Electronic check,4,0
CUST00047,8,93.23,773.93,0,0,0,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Electronic check,1,1
CUST00048,47,54.03,2574.32,0,1,0,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Credit card,0,1
CUST00049,35,48.25,1767.64,1,0,0,1,1,Fiber optic,1,1,1,0,0,0,Two year,1,Electronic check,4,0
CUST00050,36,53.67,1742.65,1,1,0,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,0,1
CUST00051,50,97.01,5063.65,0,0,0,1,1,No,0,1,0,0,1,1,Month-to-month,0,Electronic check,4,0
CUST00052,4,85.46,320.05,0,0,0,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Bank transfer,4,1
CUST00053,2,36.89,67.84,0,0,1,1,0,Fiber optic,0,0,0,0,0,1,Two year,1,Credit card,1,1
CUST00054,6,35.76,184.54,0,0,1,1,1,No,0,0,1,0,1,0,One year,0,Electronic check,3,1
CUST00055,54,28.04,1303.02,0,0,0,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,1,1
CUST00056,4,85.35,337.44,1,1,0,1,0,DSL,0,0,1,0,0,0,Month-to-month,0,Electronic check,1,1
CUST00057,54,95.97,4879.66,1,0,0,1,1,No,0,0,1,1,0,1,Two year,0,Electronic check,4,0
CUST00058,63,45.03,2539.88,0,0,0,0,0,DSL,0,0,0,1,1,0,Two year,1,Electronic check,2,0
CUST00059,18,20.14,352.66,0,0,1,1,0,Fiber optic,0,1,0,1,1,0,Month-to-month,1,Mailed check,3,1
CUST00060,44,26.38,1045.31,0,1,0,1,1,No,1,0,1,0,0,1,Month-to-month,1,Electronic check,4,0
CUST00061,34,116.72,3831.67,0,0,0,1,0,Fiber optic,1,1,0,1,1,0,Month-to-month,1,Mailed check,4,0
CUST00062,62,48.14,2751.4,0,0,1,1,1,Fiber optic,0,0,1,0,0,1,Month-to-month,0,Electronic check,3,1
CUST00063,14,96.46,1370.31,0,0,1,1,1,Fiber optic,1,0,0,0,0,1,One year,1,Credit card,3,0
CUST00064,48,81.72,3978.02,0,1,0,1,0,Fiber optic,1,1,1,1,0,0,Two year,0,Credit card,4,0
CUST00065,15,56.96,807.81,0,0,0,1,1,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Bank transfer,4,1
CUST00066,72,38.98,2582.49,1,0,0,1,0,Fiber optic,0,0,0,1,1,0,Two year,1,Mailed check,2,0
CUST00067,62,30.38,1737.61,0,0,1,1,0,Fiber optic,1,1,0,1,1,1,Month-to-month,0,Mailed check,5,0
CUST00068,40,80.73,3265.18,0,1,1,1,1,Fiber optic,0,1,1,0,0,0,One year,0,Mailed check,3,0
CUST00069,53,97.01,4707.77,0,0,0,1,0,DSL,0,1,0,1,0,1,One year,1,Bank transfer,3,0
CUST00070,24,83.68,1791.04,0,1,0,1,0,Fiber optic,0,0,1,1,0,1,Month-to-month,0,Mailed check,3,1
CUST00071,26,72.09,1624.94,0,0,0,1,1,No,0,1,0,1,0,0,Month-to-month,1,Credit card,3,1
CUST00072,60,22.28,1261.06,0,0,0,1,0,Fiber optic,1,1,0,1,0,1,One year,0,Credit card,4,0
CUST00073,41,116.79,4531.86,1,0,0,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,0,Electronic check,3,0
CUST00074,29,99.47,2937.08,0,0,0,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Bank transfer,4,0
CUST00075,15,47.87,642.11,0,0,0,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,3,1
CUST00076,45,117.96,4916.45,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Two year,1,Electronic check,1,0
CUST00077,65,79.39,5220.63,0,0,0,1,0,No,0,0,1,0,1,0,Month-to-month,1,Mailed check,2,0
CUST00078,71,77.41,5577.04,0,1,0,0,0,DSL,0,0,1,0,0,1,Two year,1,Electronic check,2,0
CUST00079,9,94.3,786.68,1,1,0,1,1,No,1,0,0,1,0,1,Month-to-month,0,Credit card,4,1
CUST00080,1,100.8,94.94,0,0,1,1,0,DSL,1,0,0,1,0,0,One year,1,Electronic check,2,1
CUST00081,8,84.96,618.96,0,1,0,1,0,DSL,1,1,0,1,0,1,One year,0,Mailed check,4,1
CUST00082,63,31.07,2028.88,0,1,1,0,0,No,1,0,1,0,0,0,Two year,1,Bank transfer,2,0
CUST00083,11,52.5,504.58,0,1,0,1,0,DSL,0,1,0,0,0,1,Month-to-month,0,Bank transfer,2,1
CUST00084,8,112.66,934.4,0,0,1,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Mailed check,5,0
CUST00085,35,40.91,1412.91,0,1,1,1,1,No,0,0,0,0,1,0,One year,1,Credit card,2,0
CUST00086,35,55.96,1873.04,0,0,0,1,1,No,0,1,1,1,1,0,Month-to-month,0,Bank transfer,5,1
CUST00087,33,62.07,1754.44,0,1,1,0,0,No,1,0,0,1,0,1,Month-to-month,0,Mailed check,3,1
CUST00088,5,62.82,296.86,1,0,0,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Electronic check,4,1
CUST00089,41,80.52,3075.34,0,0,0,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,0,Mailed check,3,0
CUST00090,28,114.19,2820.82,1,0,0,1,1,DSL,1,0,0,0,0,0,Two year,1,Credit card,2,0
CUST00091,7,42.55,292.27,0,0,0,1,0,Fiber optic,1,0,1,1,0,0,Month-to-month,1,Bank transfer,3,1
CUST00092,72,30.39,2284.86,1,1,1,1,0,No,0,0,1,0,0,0,Month-to-month,1,Credit card,1,0
CUST00093,12,38.14,440.49,0,0,1,1,0,Fiber optic,1,1,0,0,0,1,One year,1,Mailed check,3,1
CUST00094,34,108.47,3661.98,0,1,0,1,0,Fiber optic,0,1,1,1,0,0,Month-to-month,0,Electronic check,3,0
CUST00095,33,83.87,2390.44,1,0,0,1,0,Fiber optic,1,0,0,1,0,1,Month-to-month,0,Electronic check,3,0
CUST00096,48,47.16,2113.22,0,0,0,1,0,Fiber optic,0,1,0,1,0,1,Month-to-month,0,Electronic check,3,0
CUST00097,23,101.23,2033.23,1,1,0,1,0,No,0,0,0,0,0,1,Two year,1,Bank transfer,1,0
CUST00098,62,105.86,6383.22,1,1,0,1,0,DSL,1,0,0,1,0,0,Two year,1,Credit card,2,0
CUST00099,37,104.34,4006.11,0,0,1,1,0,Fiber optic,0,1,1,1,0,1,Two year,1,Electronic check,4,0
CUST00100,44,111.73,4829.38,0,0,0,0,0,No,1,0,0,1,0,1,Month-to-month,1,Mailed check,3,0
CUST00101,35,43.73,1324.48,0,1,0,1,1,Fiber optic,1,1,0,1,0,0,One year,1,Mailed check,4,1
CUST00102,65,95.01,5687.36,0,0,1,1,0,DSL,0,1,0,1,0,0,Month-to-month,1,Mailed check,2,0
CUST00103,47,64.98,2932.3,0,1,0,1,1,Fiber optic,1,1,0,1,0,1,Month-to-month,0,Electronic check,5,1
CUST00104,3,103.88,290.03,0,1,0,1,1,DSL,1,0,1,1,1,0,Month-to-month,1,Electronic check,5,1
CUST00105,1,92.31,93.85,0,0,0,1,1,DSL,0,0,1,0,0,1,One year,1,Electronic check,3,1
CUST00106,5,97.2,492.29,1,0,0,1,1,No,1,0,0,0,0,0,Month-to-month,0,Electronic check,2,1
CUST00107,14,84.93,1156.16,0,0,1,1,1,Fiber optic,1,1,0,1,0,0,Month-to-month,0,Electronic check,4,1
CUST00108,27,36.1,901.3,0,0,0,1,0,No,1,1,1,1,0,0,Month-to-month,0,Electronic check,4,1
CUST00109,9,73.59,596.79,1,1,0,1,1,No,1,0,0,1,0,0,Month-to-month,1,Bank transfer,3,0
CUST00110,15,118.44,1547.73,0,1,0,1,1,Fiber optic,1,1,0,0,1,0,One year,1,Electronic check,4,1
CUST00111,42,113.61,4394.56,0,1,0,0,0,DSL,1,0,0,0,1,0,Month-to-month,0,Credit card,2,0
CUST00112,51,22.4,1065.44,0,1,1,0,0,Fiber optic,1,0,0,0,0,0,One year,1,Electronic check,1,1
CUST00113,63,34.81,2160.5,0,0,1,1,1,DSL,0,0,1,0,1,0,Month-to-month,0,Mailed check,3,0
CUST00114,52,31.44,1604.85,0,1,1,1,1,No,0,0,1,0,0,0,Two year,1,Mailed check,2,0
CUST00115,4,92.05,318.13,0,0,0,1,1,DSL,0,0,1,1,0,1,One year,1,Electronic check,4,1
CUST00116,23,101.41,2166.95,1,1,0,0,0,DSL,1,0,0,0,1,0,Month-to-month,1,Credit card,2,1
CUST00117,15,39.78,528.89,0,0,0,1,0,Fiber optic,1,1,0,1,0,1,Month-to-month,0,Electronic check,4,1
CUST00118,43,69.6,2637.74,0,1,0,1,0,DSL,0,1,1,0,0,1,One year,1,Credit card,3,0
CUST00119,29,103.75,3055.27,0,1,0,1,0,DSL,0,0,1,1,1,0,Two year,0,Credit card,3,0
CUST00120,36,92.75,2866.14,0,0,0,1,0,Fiber optic,0,1,1,1,0,0,Month-to-month,1,Mailed check,3,1
CUST00121,13,73.31,889.97,1,0,1,1,0,DSL,0,1,0,0,1,1,Month-to-month,1,Mailed check,3,1
CUST00122,32,78.22,2211.79,0,1,0,1,0,DSL,1,0,1,1,1,1,Two year,1,Bank transfer,5,0
CUST00123,71,69.85,5087.63,0,0,0,1,0,Fiber optic,1,1,0,1,1,0,One year,1,Mailed check,4,1
CUST00124,59,48.35,2742.56,0,1,0,1,0,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Bank transfer,3,0
CUST00125,28,75.63,1897.99,1,1,0,1,0,Fiber optic,0,1,1,1,0,0,Month-to-month,1,Electronic check,3,1
CUST00126,66,88.27,5537.36,0,0,0,1,1,Fiber optic,1,1,1,0,1,0,Month-to-month,0,Electronic check,5,0
CUST00127,42,107.08,4480.71,0,0,0,1,1,Fiber optic,1,1,1,1,1,0,One year,0,Mailed check,6,1
CUST00128,45,82.9,3885.78,0,1,0,1,1,Fiber optic,1,0,1,1,0,0,Month-to-month,1,Mailed check,4,1
CUST00129,62,95.63,5301.11,0,0,0,1,0,No,1,1,0,1,1,1,Two year,0,Credit card,5,0
CUST00130,57,34.33,2010.11,0,0,1,1,1,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,2,0
CUST00131,6,65.08,404.87,0,1,0,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Credit card,3,1
CUST00132,28,18.95,548.26,0,1,0,1,1,No,1,0,0,0,0,0,One year,1,Electronic check,2,1
CUST00133,28,43.16,1180.79,0,0,0,1,1,No,1,0,0,0,0,0,Two year,1,Mailed check,2,0
CUST00134,44,92.1,3955.0,0,0,0,1,1,DSL,1,1,0,0,1,0,Two year,1,Electronic check,4,0
CUST00135,30,119.16,3326.86,0,1,1,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,0
CUST00136,62,28.12,1744.28,0,1,0,1,0,Fiber optic,1,1,1,1,1,0,One year,1,Electronic check,5,1
CUST00137,62,58.95,3495.03,0,1,0,1,0,DSL,0,0,0,1,0,0,One year,1,Mailed check,1,0
CUST00138,1,99.61,98.16,0,0,1,1,1,No,1,1,0,0,0,0,Month-to-month,1,Credit card,3,0
CUST00139,27,38.81,980.48,0,1,0,1,0,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Mailed check,4,0
CUST00140,62,74.62,4609.32,0,1,0,1,0,Fiber optic,1,0,0,0,0,1,Month-to-month,1,Mailed check,2,0
CUST00141,3,92.77,282.46,0,1,0,1,1,DSL,1,0,1,0,1,0,Month-to-month,0,Credit card,4,1
CUST00142,70,80.83,4975.1,0,1,0,1,0,Fiber optic,0,1,0,0,0,1,Two year,0,Bank transfer,2,0
CUST00143,72,37.18,2721.36,1,0,1,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Mailed check,3,0
CUST00144,27,54.25,1403.32,0,1,0,1,1,No,0,1,0,1,0,0,Two year,0,Electronic check,3,0
CUST00145,9,97.95,898.24,0,0,0,1,0,DSL,0,1,0,1,1,1,Month-to-month,1,Credit card,4,1
CUST00146,62,74.53,4326.33,0,0,0,0,0,DSL,1,1,0,0,0,1,One year,1,Bank transfer,3,1
CUST00147,37,18.53,634.74,1,1,0,1,0,Fiber optic,0,1,0,1,1,0,Month-to-month,0,Electronic check,3,1
CUST00148,51,95.62,5037.61,0,1,0,1,0,DSL,1,0,1,0,1,0,Month-to-month,1,Electronic check,3,0
CUST00149,44,21.6,855.58,0,1,0,0,0,Fiber optic,0,0,0,1,0,1,Month-to-month,0,Credit card,2,0
CUST00150,24,94.06,2299.98,0,1,0,1,0,No,1,0,1,0,1,0,Month-to-month,1,Electronic check,3,0
CUST00151,59,38.65,2159.04,0,0,0,1,0,Fiber optic,1,0,0,0,0,0,One year,0,Credit card,1,0
CUST00152,32,115.72,3528.33,0,1,1,1,0,No,0,0,1,0,0,1,Month-to-month,0,Electronic check,2,0
CUST00153,52,55.53,2632.57,0,0,0,1,1,DSL,0,0,1,0,0,0,One year,1,Credit card,2,0
CUST00154,62,51.35,3071.02,0,1,0,1,1,DSL,0,1,0,1,0,0,Month-to-month,1,Mailed check,3,0
CUST00155,58,33.19,1761.47,0,0,0,1,1,DSL,1,1,0,1,0,0,Month-to-month,1,Mailed check,4,0
CUST00156,52,49.17,2193.4,1,1,1,1,1,DSL,1,1,1,1,0,1,Month-to-month,0,Credit card,6,0
CUST00157,12,107.42,1165.81,0,0,1,0,0,No,0,1,0,0,0,1,Two year,0,Mailed check,2,0
CUST00158,39,119.63,3971.69,0,1,1,1,1,DSL,1,0,0,1,1,0,One year,1,Mailed check,4,1
CUST00159,2,55.57,116.22,1,1,0,1,0,Fiber optic,0,0,1,1,0,0,Month-to-month,1,Electronic check,2,1
CUST00160,3,63.76,199.53,1,0,1,1,0,Fiber optic,1,0,1,1,1,0,Month-to-month,0,Electronic check,4,1
CUST00161,56,91.65,4768.16,1,1,0,1,1,No,0,0,1,1,0,0,Month-to-month,1,Electronic check,3,0
CUST00162,59,108.39,6367.35,1,1,0,1,0,DSL,1,0,1,1,1,0,Two year,0,Bank transfer,4,0
CUST00163,2,78.49,144.29,1,1,0,1,0,DSL,1,0,0,1,0,0,One year,0,Electronic check,2,1
CUST00164,2,57.94,114.05,0,1,1,1,1,DSL,1,0,1,1,0,0,Month-to-month,1,Electronic check,4,1
CUST00165,54,60.09,3280.83,1,0,1,1,1,Fiber optic,0,1,0,0,0,1,One year,0,Mailed check,3,0
CUST00166,1,88.95,92.45,0,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Bank transfer,1,1
CUST00167,19,18.33,323.91,0,0,1,1,0,No,1,0,1,1,0,0,Two year,0,Bank transfer,3,1
CUST00168,2,81.2,163.48,0,0,0,1,1,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Electronic check,3,1
CUST00169,53,54.26,2597.36,1,0,0,1,1,Fiber optic,0,1,0,0,1,1,One year,0,Electronic check,4,0
CUST00170,44,99.01,4565.84,0,1,0,1,0,Fiber optic,1,0,1,1,1,0,Month-to-month,1,Credit card,4,0
CUST00171,32,27.49,752.26,1,0,1,1,1,DSL,0,0,0,0,0,0,One year,1,Electronic check,1,0
CUST00172,70,78.0,5300.05,0,0,0,1,1,Fiber optic,0,0,0,0,0,1,One year,0,Credit card,2,0
CUST00173,32,67.06,2107.08,0,0,1,0,0,No,1,0,0,0,1,1,One year,1,Credit card,3,0
CUST00174,68,83.52,5608.99,0,1,0,1,1,No,0,0,0,1,0,1,One year,1,Bank transfer,3,0
CUST00175,55,24.62,1183.59,0,1,0,1,1,No,0,1,1,0,1,0,Two year,0,Electronic check,4,0
CUST00176,56,77.16,4483.89,0,0,0,1,0,No,1,0,0,0,0,0,Month-to-month,0,Credit card,1,0
CUST00177,17,75.27,1134.02,0,1,0,1,1,DSL,1,0,0,0,1,1,Month-to-month,0,Bank transfer,4,1
CUST00178,38,75.19,2784.51,0,0,1,1,0,DSL,0,0,0,1,1,0,Month-to-month,1,Bank transfer,2,0
CUST00179,24,79.56,1708.06,0,1,0,1,1,DSL,1,1,1,1,1,0,Two year,1,Electronic check,6,1
CUST00180,69,87.0,5471.39,0,1,0,1,1,DSL,1,0,1,0,0,1,Month-to-month,0,Electronic check,4,0
CUST00181,70,100.11,6722.43,0,0,0,1,0,DSL,0,0,0,1,0,1,One year,1,Electronic check,2,0
CUST00182,11,45.52,467.39,0,1,0,1,1,Fiber optic,0,1,0,1,1,1,One year,1,Mailed check,5,1
CUST00183,16,102.16,1441.76,0,1,0,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Bank transfer,4,0
CUST00184,59,68.82,3590.14,0,0,0,1,0,No,1,0,0,1,0,1,Month-to-month,1,Mailed check,3,0
CUST00185,70,25.86,1690.06,0,1,1,1,0,Fiber optic,1,0,0,0,0,1,Month-to-month,0,Mailed check,2,0
CUST00186,3,23.97,72.01,0,0,0,1,0,No,0,1,0,0,1,0,Month-to-month,1,Mailed check,2,1
CUST00187,20,52.09,1072.63,0,0,0,1,1,DSL,1,1,0,1,0,1,Month-to-month,0,Bank transfer,5,0
CUST00188,59,98.06,5015.05,0,0,0,1,1,DSL,1,0,1,1,1,0,Month-to-month,1,Credit card,5,0
CUST00189,36,90.18,3014.75,1,0,0,1,1,Fiber optic,0,0,1,0,1,0,Two year,0,Electronic check,3,0
CUST00190,19,98.44,1627.31,1,0,0,1,0,DSL,1,0,1,0,1,0,Two year,1,Mailed check,3,0
CUST00191,67,70.76,4045.51,0,1,0,1,1,DSL,0,1,1,1,0,0,Month-to-month,0,Electronic check,4,0
CUST00192,19,62.9,1174.0,0,0,0,1,0,DSL,1,0,1,1,0,0,Month-to-month,1,Bank transfer,3,1
CUST00193,20,33.04,641.3,0,0,0,1,0,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer,3,1
CUST00194,71,51.48,3225.99,0,1,0,1,0,Fiber optic,1,1,0,0,1,0,One year,0,Credit card,3,0
CUST00195,52,62.27,2903.75,0,1,1,1,0,Fiber optic,1,1,0,0,0,0,Two year,0,Electronic check,2,0
CUST00196,33,27.04,762.7,1,1,1,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,0,Credit card,3,1
CUST00197,40,40.5,1647.52,0,1,0,1,1,Fiber optic,1,1,1,1,0,0,Month-to-month,1,Electronic check,5,1
CUST00198,39,79.02,3220.27,0,1,0,0,0,Fiber optic,1,0,0,1,0,0,One year,1,Bank transfer,2,0
CUST00199,1,93.04,81.6,0,1,0,1,1,DSL,1,0,0,0,1,1,One year,1,Electronic check,4,0
CUST00200,11,119.83,1181.43,0,1,0,1,0,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card,3,1
CUST00201,57,113.18,6604.04,1,1,1,1,1,Fiber optic,0,0,0,0,1,0,One year,0,Mailed check,2,0
CUST00202,50,83.54,4324.42,0,0,1,1,1,Fiber optic,1,1,0,1,0,0,Month-to-month,0,Bank transfer,4,1
CUST00203,23,60.97,1309.65,1,0,0,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Credit card,4,1
CUST00204,31,82.89,2210.17,0,1,0,0,0,Fiber optic,1,1,1,0,0,1,One year,1,Electronic check,4,0
CUST00205,42,98.14,3536.07,1,0,0,1,0,DSL,1,0,1,0,1,0,Two year,1,Electronic check,3,0
CUST00206,7,30.07,203.08,1,0,0,1,0,Fiber optic,0,1,1,1,0,1,Month-to-month,0,Credit card,4,1
CUST00207,16,59.81,888.61,1,1,1,0,0,Fiber optic,0,0,1,0,0,1,Two year,0,Electronic check,2,1
CUST00208,60,103.66,5322.3,0,1,0,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,2,0
CUST00209,2,57.15,110.49,0,0,0,1,1,Fiber optic,1,0,0,0,0,0,One year,0,Mailed check,2,1
CUST00210,1,76.33,65.05,0,1,0,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Bank transfer,4,0
CUST00211,48,77.95,3769.57,0,1,0,1,0,Fiber optic,1,0,1,0,0,0,Two year,0,Electronic check,2,0
CUST00212,12,36.82,402.64,1,1,0,1,1,Fiber optic,0,0,0,1,0,1,Two year,1,Electronic check,3,1
CUST00213,69,54.95,3253.35,0,1,0,1,0,DSL,1,0,1,0,1,1,Month-to-month,1,Electronic check,4,1
CUST00214,37,52.12,1866.09,0,1,0,1,1,Fiber optic,1,1,0,1,0,1,Two year,1,Mailed check,5,0
CUST00215,32,20.67,614.83,0,1,1,1,1,DSL,1,0,1,1,0,0,Two year,1,Credit card,4,0
CUST00216,9,20.47,192.48,0,0,1,0,0,DSL,0,1,0,1,0,1,One year,0,Credit card,3,1
CUST00217,19,102.83,1873.35,0,1,0,1,1,No,1,0,1,1,1,0,Month-to-month,1,Bank transfer,5,1
CUST00218,48,45.85,1991.83,0,1,1,0,0,No,1,0,0,1,0,0,Two year,0,Electronic check,2,0
CUST00219,3,70.84,210.8,0,1,0,1,1,DSL,1,1,0,1,1,0,Two year,1,Credit card,5,1
CUST00220,20,48.47,876.63,0,1,1,1,1,Fiber optic,1,0,1,0,0,1,Month-to-month,0,Mailed check,4,0
CUST00221,24,113.95,2819.16,1,0,1,1,1,DSL,1,1,1,1,0,0,Two year,1,Electronic check,5,0
CUST00222,54,44.45,2220.14,0,1,0,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Credit card,1,1
CUST00223,33,61.82,1958.4,1,0,1,1,0,No,0,1,1,0,1,0,Month-to-month,0,Bank transfer,3,1
CUST00224,24,107.02,2209.19,0,0,0,1,0,No,1,1,1,0,0,1,Month-to-month,1,Bank transfer,4,1
CUST00225,72,103.88,6994.88,0,0,0,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer,5,0
CUST00226,36,36.98,1353.21,0,0,0,1,1,Fiber optic,0,0,0,1,0,1,One year,1,Electronic check,3,0
